code,std_ratio_thres,sma_len,sma_dir,candle_len,cycle,sl,tp,net_profit_long,num_of_trade_long,net_profit_short,num_of_trade_short,total_profit,total_trades,ls_ratio
GN05_market_price_usd_ohlc_4h_DOGE,2.0,20,whatever,4,15,2,10,29594.59,92,-3851.66,104,25742.93,196,0.8846153846153846
GN05_market_price_usd_ohlc_4h_DOGE,2.0,15,whatever,4,15,2,10,29594.59,92,-3851.66,104,25742.93,196,0.8846153846153846
GN05_market_price_usd_ohlc_4h_DOGE,2.5,15,whatever,4,15,2,10,29594.59,92,-3851.66,104,25742.93,196,0.8846153846153846
GN05_market_price_usd_ohlc_4h_DOGE,2.5,10,whatever,4,15,2,10,29594.59,92,-3851.66,104,25742.93,196,0.8846153846153846
GN05_market_price_usd_ohlc_4h_DOGE,1.0,20,whatever,4,15,2,10,29594.59,92,-3851.66,104,25742.93,196,0.8846153846153846
GN05_market_price_usd_ohlc_4h_DOGE,1.0,15,whatever,4,15,2,10,29594.59,92,-3851.66,104,25742.93,196,0.8846153846153846
GN05_market_price_usd_ohlc_4h_DOGE,1.0,10,whatever,4,15,2,10,29594.59,92,-3851.66,104,25742.93,196,0.8846153846153846
GN05_market_price_usd_ohlc_4h_DOGE,2.5,20,whatever,4,15,2,10,29594.59,92,-3851.66,104,25742.93,196,0.8846153846153846
GN05_market_price_usd_ohlc_4h_DOGE,2.0,10,whatever,4,15,2,10,29594.59,92,-3851.66,104,25742.93,196,0.8846153846153846
GN05_market_price_usd_ohlc_4h_DOGE,1.0,15,whatever,4,20,2,10,28853.48,91,-4666.78,103,24186.7,194,0.883495145631068
GN05_market_price_usd_ohlc_4h_DOGE,2.5,15,whatever,4,20,2,10,28853.48,91,-4666.78,103,24186.7,194,0.883495145631068
GN05_market_price_usd_ohlc_4h_DOGE,1.0,10,whatever,4,20,2,10,28853.48,91,-4666.78,103,24186.7,194,0.883495145631068
GN05_market_price_usd_ohlc_4h_DOGE,2.5,20,whatever,4,20,2,10,28853.48,91,-4666.78,103,24186.7,194,0.883495145631068
GN05_market_price_usd_ohlc_4h_DOGE,1.0,20,whatever,4,20,2,10,28853.48,91,-4666.78,103,24186.7,194,0.883495145631068
GN05_market_price_usd_ohlc_4h_DOGE,2.0,15,whatever,4,20,2,10,28853.48,91,-4666.78,103,24186.7,194,0.883495145631068
GN05_market_price_usd_ohlc_4h_DOGE,2.5,10,whatever,4,20,2,10,28853.48,91,-4666.78,103,24186.7,194,0.883495145631068
GN05_market_price_usd_ohlc_4h_DOGE,2.0,10,whatever,4,20,2,10,28853.48,91,-4666.78,103,24186.7,194,0.883495145631068
GN05_market_price_usd_ohlc_4h_DOGE,2.0,20,whatever,4,20,2,10,28853.48,91,-4666.78,103,24186.7,194,0.883495145631068
GN05_market_price_usd_ohlc_4h_DOGE,1.0,15,whatever,2,10,1,10,28845.55,326,-6676.06,312,22169.489999999998,638,0.9570552147239264
GN05_market_price_usd_ohlc_4h_DOGE,1.0,10,whatever,2,10,1,10,28845.55,326,-6676.06,312,22169.489999999998,638,0.9570552147239264
GN05_market_price_usd_ohlc_4h_DOGE,2.0,10,whatever,2,10,1,10,28845.55,326,-6676.06,312,22169.489999999998,638,0.9570552147239264
GN05_market_price_usd_ohlc_4h_DOGE,2.0,20,whatever,2,10,1,10,28845.55,326,-6676.06,312,22169.489999999998,638,0.9570552147239264
GN05_market_price_usd_ohlc_4h_DOGE,2.5,15,whatever,2,10,1,10,28845.55,326,-6676.06,312,22169.489999999998,638,0.9570552147239264
GN05_market_price_usd_ohlc_4h_DOGE,2.5,20,whatever,2,10,1,10,28845.55,326,-6676.06,312,22169.489999999998,638,0.9570552147239264
GN05_market_price_usd_ohlc_4h_DOGE,2.5,10,whatever,2,10,1,10,28845.55,326,-6676.06,312,22169.489999999998,638,0.9570552147239264
GN05_market_price_usd_ohlc_4h_DOGE,1.0,20,whatever,2,10,1,10,28845.55,326,-6676.06,312,22169.489999999998,638,0.9570552147239264
GN05_market_price_usd_ohlc_4h_DOGE,2.0,15,whatever,2,10,1,10,28845.55,326,-6676.06,312,22169.489999999998,638,0.9570552147239264
GN05_market_price_usd_ohlc_4h_DOGE,1.0,10,whatever,4,15,2,7,25402.41,97,-4460.15,107,20942.260000000002,204,0.9065420560747663
GN05_market_price_usd_ohlc_4h_DOGE,2.5,15,whatever,4,15,2,7,25402.41,97,-4460.15,107,20942.260000000002,204,0.9065420560747663
GN05_market_price_usd_ohlc_4h_DOGE,2.0,20,whatever,4,15,2,7,25402.41,97,-4460.15,107,20942.260000000002,204,0.9065420560747663
GN05_market_price_usd_ohlc_4h_DOGE,1.0,20,whatever,4,15,2,7,25402.41,97,-4460.15,107,20942.260000000002,204,0.9065420560747663
GN05_market_price_usd_ohlc_4h_DOGE,2.0,15,whatever,4,15,2,7,25402.41,97,-4460.15,107,20942.260000000002,204,0.9065420560747663
GN05_market_price_usd_ohlc_4h_DOGE,2.0,10,whatever,4,15,2,7,25402.41,97,-4460.15,107,20942.260000000002,204,0.9065420560747663
GN05_market_price_usd_ohlc_4h_DOGE,1.0,15,whatever,4,15,2,7,25402.41,97,-4460.15,107,20942.260000000002,204,0.9065420560747663
GN05_market_price_usd_ohlc_4h_DOGE,2.5,20,whatever,4,15,2,7,25402.41,97,-4460.15,107,20942.260000000002,204,0.9065420560747663
GN05_market_price_usd_ohlc_4h_DOGE,2.5,10,whatever,4,15,2,7,25402.41,97,-4460.15,107,20942.260000000002,204,0.9065420560747663
GN05_market_price_usd_ohlc_4h_DOGE,2.5,20,whatever,4,20,1,10,25712.09,98,-5729.54,108,19982.55,206,0.9074074074074074
GN05_market_price_usd_ohlc_4h_DOGE,1.0,15,whatever,4,20,1,10,25712.09,98,-5729.54,108,19982.55,206,0.9074074074074074
GN05_market_price_usd_ohlc_4h_DOGE,2.5,10,whatever,4,20,1,10,25712.09,98,-5729.54,108,19982.55,206,0.9074074074074074
GN05_market_price_usd_ohlc_4h_DOGE,2.5,15,whatever,4,20,1,10,25712.09,98,-5729.54,108,19982.55,206,0.9074074074074074
GN05_market_price_usd_ohlc_4h_DOGE,1.0,20,whatever,4,20,1,10,25712.09,98,-5729.54,108,19982.55,206,0.9074074074074074
GN05_market_price_usd_ohlc_4h_DOGE,2.0,15,whatever,4,20,1,10,25712.09,98,-5729.54,108,19982.55,206,0.9074074074074074
GN05_market_price_usd_ohlc_4h_DOGE,1.0,10,whatever,4,20,1,10,25712.09,98,-5729.54,108,19982.55,206,0.9074074074074074
GN05_market_price_usd_ohlc_4h_DOGE,2.0,20,whatever,4,20,1,10,25712.09,98,-5729.54,108,19982.55,206,0.9074074074074074
GN05_market_price_usd_ohlc_4h_DOGE,2.0,10,whatever,4,20,1,10,25712.09,98,-5729.54,108,19982.55,206,0.9074074074074074
GN05_market_price_usd_ohlc_4h_DOGE,2.0,20,whatever,4,15,1,10,23998.27,99,-5290.56,108,18707.71,207,0.9166666666666666
GN05_market_price_usd_ohlc_4h_DOGE,1.0,15,whatever,4,15,1,10,23998.27,99,-5290.56,108,18707.71,207,0.9166666666666666
GN05_market_price_usd_ohlc_4h_DOGE,1.0,20,whatever,4,15,1,10,23998.27,99,-5290.56,108,18707.71,207,0.9166666666666666
GN05_market_price_usd_ohlc_4h_DOGE,2.0,10,whatever,4,15,1,10,23998.27,99,-5290.56,108,18707.71,207,0.9166666666666666
GN05_market_price_usd_ohlc_4h_DOGE,2.5,10,whatever,4,15,1,10,23998.27,99,-5290.56,108,18707.71,207,0.9166666666666666
GN05_market_price_usd_ohlc_4h_DOGE,2.5,20,whatever,4,15,1,10,23998.27,99,-5290.56,108,18707.71,207,0.9166666666666666
GN05_market_price_usd_ohlc_4h_DOGE,2.5,15,whatever,4,15,1,10,23998.27,99,-5290.56,108,18707.71,207,0.9166666666666666
GN05_market_price_usd_ohlc_4h_DOGE,2.0,15,whatever,4,15,1,10,23998.27,99,-5290.56,108,18707.71,207,0.9166666666666666
GN05_market_price_usd_ohlc_4h_DOGE,1.0,10,whatever,4,15,1,10,23998.27,99,-5290.56,108,18707.71,207,0.9166666666666666
GN05_market_price_usd_ohlc_4h_DOGE,2.5,10,whatever,4,10,2,10,23397.31,94,-4775.66,107,18621.65,201,0.8785046728971962
GN05_market_price_usd_ohlc_4h_DOGE,2.5,20,whatever,4,10,2,10,23397.31,94,-4775.66,107,18621.65,201,0.8785046728971962
GN05_market_price_usd_ohlc_4h_DOGE,1.0,15,whatever,4,10,2,10,23397.31,94,-4775.66,107,18621.65,201,0.8785046728971962
GN05_market_price_usd_ohlc_4h_DOGE,1.0,10,whatever,4,10,2,10,23397.31,94,-4775.66,107,18621.65,201,0.8785046728971962
