reference_index,net_profit,num_of_trade,code,std_ratio_thres,sma_len,sma_dir,candle_dir,candle_len,cycle,sl,tp
17470,29594.59,92,GN05_market_price_usd_ohlc_4h_DOGE,2.0,20,whatever,positive,4,15,2,10
17038,29594.59,92,GN05_market_price_usd_ohlc_4h_DOGE,2.0,10,whatever,positive,4,15,2,10
17254,29594.59,92,GN05_market_price_usd_ohlc_4h_DOGE,2.0,15,whatever,positive,4,15,2,10
17278,29594.59,92,GN05_market_price_usd_ohlc_4h_DOGE,2.5,15,whatever,positive,4,15,2,10
17062,29594.59,92,GN05_market_price_usd_ohlc_4h_DOGE,2.5,10,whatever,positive,4,15,2,10
17446,29594.59,92,GN05_market_price_usd_ohlc_4h_DOGE,1.0,20,whatever,positive,4,15,2,10
17230,29594.59,92,GN05_market_price_usd_ohlc_4h_DOGE,1.0,15,whatever,positive,4,15,2,10
17014,29594.59,92,GN05_market_price_usd_ohlc_4h_DOGE,1.0,10,whatever,positive,4,15,2,10
17494,29594.59,92,GN05_market_price_usd_ohlc_4h_DOGE,2.5,20,whatever,positive,4,15,2,10
17471,28853.48,91,GN05_market_price_usd_ohlc_4h_DOGE,2.0,20,whatever,positive,4,20,2,10
17039,28853.48,91,GN05_market_price_usd_ohlc_4h_DOGE,2.0,10,whatever,positive,4,20,2,10
17447,28853.48,91,GN05_market_price_usd_ohlc_4h_DOGE,1.0,20,whatever,positive,4,20,2,10
17063,28853.48,91,GN05_market_price_usd_ohlc_4h_DOGE,2.5,10,whatever,positive,4,20,2,10
17255,28853.48,91,GN05_market_price_usd_ohlc_4h_DOGE,2.0,15,whatever,positive,4,20,2,10
17231,28853.48,91,GN05_market_price_usd_ohlc_4h_DOGE,1.0,15,whatever,positive,4,20,2,10
17495,28853.48,91,GN05_market_price_usd_ohlc_4h_DOGE,2.5,20,whatever,positive,4,20,2,10
17015,28853.48,91,GN05_market_price_usd_ohlc_4h_DOGE,1.0,10,whatever,positive,4,20,2,10
17279,28853.48,91,GN05_market_price_usd_ohlc_4h_DOGE,2.5,15,whatever,positive,4,20,2,10
16626,28845.55,326,GN05_market_price_usd_ohlc_4h_DOGE,2.5,15,whatever,positive,2,10,1,10
16602,28845.55,326,GN05_market_price_usd_ohlc_4h_DOGE,2.0,15,whatever,positive,2,10,1,10
