,reference_code,reference_index,code,candle_dir,candle_len,sma_len,sma_dir,std_ratio_thres,atr_len,tp_multiplier,sl_multiplier,cycle,2024,2025,2026,holding_period_day,total_commission,net_profit,return_on_capital,annualized_return,annualized_std,annualized_sr,mdd_dollar,mdd_pct,num_of_trade,win_rate,loss_rate,net_profit_to_mdd,cov_count,cov_return,2024_win_rate,2024_return,2025_win_rate,2025_return,2026_win_rate,2026_return,risk_free_rate,bah_return,bah_annualized_return,bah_annualized_std,bah_annualized_sr,bah_mdd_dollar,bah_mdd_pct,return_to_bah
1,29075841,0,GN01_market_price_usd_ohlc_24h_BTC,positive,1,10,above,1.0,3,2,1.0,10,24,20,2,796,1328.5243146221865,4663.686787206678,46.64,19.19,27.32,0.55,3317.760238145882,20.131465238852897,46,47.83,52.17,1.4056732411179182,0.624,1.641,50.0,55,50.0,-7,0.0,2,4.17,53.95,21.88,49.46,0.36,14014.0,49.614104651986125,-7.310000000000002
9,34934463,1,GN01_market_price_usd_ohlc_24h_BTC,positive,1,10,above,1.0,3,2,1.0,15,22,18,2,796,1282.6878381768338,6135.832944113179,61.36,24.53,27.98,0.73,3187.8244848578815,21.443668884635525,42,50.0,50.0,1.924771258034529,0.617,1.452,54.55,63,50.0,-3,0.0,2,4.17,53.95,21.88,49.46,0.36,14014.0,49.614104651986125,7.409999999999997
18,29365721,2,GN01_market_price_usd_ohlc_24h_BTC,positive,1,10,above,1.0,3,2,1.0,20,22,17,2,796,1208.7180613616242,5292.10731884308,52.92,21.5,28.37,0.61,4069.8707632862534,23.989280213970112,41,46.34,53.66,1.3003133580020416,0.622,1.652,54.55,63,41.18,-8,0.0,2,4.17,53.95,21.88,49.46,0.36,14014.0,49.614104651986125,-1.0300000000000011
31,90683530,3,GN01_market_price_usd_ohlc_24h_BTC,positive,1,10,above,1.0,3,2,1.5,10,24,19,2,796,1251.5737676223607,3614.775654805122,36.15,15.2,28.06,0.39,3605.0411291202163,23.135990679681395,45,51.11,48.89,1.0027002537103595,0.628,1.898,54.17,49,52.63,-7,0.0,-2,4.17,53.95,21.88,49.46,0.36,14014.0,49.614104651986125,-17.800000000000004
41,12663360,4,GN01_market_price_usd_ohlc_24h_BTC,positive,1,10,above,1.0,3,2,1.5,15,20,17,2,796,1373.7013400541514,8808.497031317846,88.08,33.6,28.67,1.03,3729.8185190389013,18.1209674589504,39,56.41,43.59,2.3616422585589008,0.606,1.505,65.0,97,52.94,-2,0.0,-2,4.17,53.95,21.88,49.46,0.36,14014.0,49.614104651986125,34.129999999999995
56,87736606,5,GN01_market_price_usd_ohlc_24h_BTC,positive,1,10,above,1.0,3,2,1.5,20,20,16,2,796,1184.817668516194,5998.953745913881,59.99,24.05,29.63,0.67,5362.01675212754,27.948196827028895,38,52.63,47.37,1.1187868339899567,0.609,1.809,65.0,84,43.75,-11,0.0,-2,4.17,53.95,21.88,49.46,0.36,14014.0,49.614104651986125,6.039999999999999
72,88370806,6,GN01_market_price_usd_ohlc_24h_BTC,positive,1,10,above,1.0,3,2,2.0,10,24,19,2,796,1184.372093070614,2535.0240184480062,25.35,10.92,28.57,0.24,3466.4614149438075,23.135990679681385,45,51.11,48.89,0.7313002266575351,0.628,2.007,54.17,37,52.63,-6,0.0,-2,4.17,53.95,21.88,49.46,0.36,14014.0,49.614104651986125,-28.6
88,12391313,7,GN01_market_price_usd_ohlc_24h_BTC,positive,1,10,above,1.0,3,2,2.0,15,20,17,2,796,1274.93655360475,6485.599202206744,64.86,25.76,29.61,0.73,3967.4134172532067,20.332244996714522,39,56.41,43.59,1.6347172628903832,0.606,1.674,65.0,83,52.94,-7,0.0,-2,4.17,53.95,21.88,49.46,0.36,14014.0,49.614104651986125,10.909999999999997
102,92136621,8,GN01_market_price_usd_ohlc_24h_BTC,positive,1,10,above,1.0,3,2,2.0,20,20,15,2,796,1172.4921039108192,6673.012443211483,66.73,26.42,30.14,0.74,3999.320813985094,23.234058424278203,37,56.76,43.24,1.6685364224537436,0.615,1.535,65.0,74,53.33,-2,0.0,-2,4.17,53.95,21.88,49.46,0.36,14014.0,49.614104651986125,12.780000000000001
118,32842828,9,GN01_market_price_usd_ohlc_24h_BTC,positive,1,10,above,1.0,3,3,1.0,10,23,18,2,796,1149.050735397842,2005.5553999156618,20.06,8.74,28.64,0.16,3626.2286842394224,23.19779152985546,43,44.19,55.81,0.5530692006911622,0.625,2.659,47.83,42,44.44,-14,0.0,-1,4.17,53.95,21.88,49.46,0.36,14014.0,49.614104651986125,-33.89
136,31995887,10,GN01_market_price_usd_ohlc_24h_BTC,positive,1,10,above,1.0,3,3,1.0,15,22,18,1,796,876.2080788012487,-673.449429471777,-6.73,-3.15,30.58,-0.24,4303.841578392105,33.87051622993186,41,36.59,63.41,-0.15647635193007606,0.666,-15.578,40.91,11,33.33,-23,0.0,9,4.17,53.95,21.88,49.46,0.36,14014.0,49.614104651986125,-60.68000000000001
153,32466912,11,GN01_market_price_usd_ohlc_24h_BTC,positive,1,10,above,1.0,3,3,1.0,20,21,17,1,796,841.2387290492701,-1035.3889895394368,-10.35,-4.89,31.06,-0.29,4957.493426450736,37.63495429195681,39,33.33,66.67,-0.2088533257583586,0.665,-15.399,42.86,17,23.53,-30,0.0,9,4.17,53.95,21.88,49.46,0.36,14014.0,49.614104651986125,-64.3
